"T","Distance","Radius","FreeRadius","BRadius","X","Y","Z"
0.000,0.000,9.313,9.623,10.807,2.106,19.497,-89.904
0.001,0.238,9.152,9.461,10.636,2.086,19.419,-89.679
0.001,0.476,8.990,9.299,10.466,2.067,19.342,-89.456
0.002,0.711,8.830,9.139,10.297,2.047,19.264,-89.234
0.003,0.943,8.672,8.980,10.130,2.028,19.186,-89.016
0.004,1.172,8.516,8.824,9.965,2.009,19.108,-88.802
0.004,1.396,8.363,8.670,9.804,1.990,19.029,-88.594
0.005,1.614,8.213,8.520,9.645,1.972,18.950,-88.391
0.006,1.825,8.068,8.374,9.491,1.954,18.871,-88.197
0.006,2.028,7.927,8.232,9.342,1.937,18.791,-88.010
0.007,2.223,7.792,8.096,9.198,1.920,18.711,-87.833
0.008,2.409,7.662,7.965,9.060,1.904,18.630,-87.667
0.009,2.584,7.538,7.840,8.928,1.889,18.549,-87.512
0.009,2.749,7.422,7.723,8.804,1.874,18.466,-87.370
0.010,2.903,7.313,7.613,8.687,1.861,18.383,-87.242
0.011,3.044,7.213,7.511,8.579,1.848,18.299,-87.128
0.011,3.174,7.120,7.416,8.478,1.836,18.214,-87.031
0.012,3.293,7.034,7.328,8.385,1.825,18.129,-86.949
0.013,3.403,6.954,7.246,8.298,1.815,18.042,-86.882
0.014,3.506,6.880,7.170,8.218,1.805,17.955,-86.828
0.014,3.603,6.812,7.099,8.143,1.795,17.868,-86.785
0.015,3.698,6.748,7.032,8.073,1.784,17.782,-86.750
0.016,3.790,6.687,6.968,8.007,1.772,17.695,-86.721
0.016,3.880,6.630,6.908,7.945,1.759,17.609,-86.697
0.017,3.969,6.575,6.849,7.886,1.745,17.524,-86.676
0.018,4.057,6.522,6.792,7.830,1.728,17.440,-86.654
0.019,4.145,6.471,6.736,7.776,1.708,17.358,-86.632
0.019,4.233,6.419,6.680,7.723,1.686,17.277,-86.605
0.020,4.322,6.368,6.623,7.671,1.660,17.198,-86.573
0.021,4.413,6.316,6.565,7.619,1.630,17.121,-86.534
0.021,4.508,6.263,6.506,7.566,1.597,17.047,-86.484
0.022,4.610,6.208,6.444,7.513,1.559,16.975,-86.423
0.023,4.720,6.150,6.380,7.457,1.516,16.907,-86.348
0.024,4.841,6.089,6.314,7.400,1.468,16.841,-86.258
0.024,4.974,6.024,6.244,7.339,1.416,16.777,-86.154
0.025,5.118,5.955,6.171,7.274,1.361,16.714,-86.037
0.026,5.272,5.881,6.094,7.205,1.304,16.651,-85.908
0.026,5.436,5.801,6.013,7.130,1.247,16.587,-85.769
0.027,5.610,5.714,5.927,7.050,1.189,16.521,-85.619
0.028,5.791,5.621,5.836,6.963,1.133,16.451,-85.462
0.029,5.980,5.521,5.740,6.868,1.079,16.377,-85.297
0.029,6.175,5.412,5.639,6.766,1.028,16.298,-85.125
0.030,6.376,5.295,5.531,6.656,0.981,16.212,-84.949
0.031,6.583,5.168,5.417,6.536,0.940,16.119,-84.769
0.031,6.795,5.033,5.297,6.407,0.906,16.018,-84.586
0.032,7.012,4.890,5.172,6.271,0.878,15.907,-84.401
0.033,7.235,4.742,5.042,6.130,0.860,15.785,-84.216
0.034,7.462,4.589,4.909,5.983,0.851,15.652,-84.032
0.034,7.696,4.435,4.773,5.834,0.852,15.507,-83.849
0.035,7.936,4.279,4.636,5.683,0.865,15.348,-83.669
0.036,8.181,4.123,4.498,5.532,0.887,15.179,-83.493
0.036,8.430,3.970,4.360,5.382,0.918,15.002,-83.321
0.037,8.682,3.820,4.223,5.235,0.957,14.818,-83.154
0.038,8.934,3.675,4.087,5.092,1.002,14.629,-82.992
0.039,9.186,3.537,3.954,4.954,1.052,14.439,-82.836
0.039,9.433,3.407,3.825,4.824,1.106,14.248,-82.687
0.040,9.676,3.288,3.700,4.702,1.163,14.060,-82.546
0.041,9.910,3.179,3.580,4.590,1.222,13.876,-82.412
0.041,10.135,3.082,3.466,4.489,1.281,13.698,-82.288
0.042,10.348,2.997,3.359,4.397,1.339,13.529,-82.173
0.043,10.546,2.922,3.257,4.316,1.395,13.371,-82.068
0.044,10.727,2.858,3.162,4.244,1.448,13.225,-81.974
0.044,10.888,2.803,3.074,4.181,1.496,13.095,-81.892
0.045,11.028,2.757,2.993,4.127,1.539,12.982,-81.822
0.046,11.144,2.719,2.919,4.080,1.575,12.888,-81.764
0.046,11.235,2.688,2.853,4.042,1.604,12.814,-81.719
0.047,11.303,2.665,2.794,4.011,1.627,12.759,-81.686
0.048,11.351,2.648,2.744,3.988,1.642,12.720,-81.664
0.049,11.381,2.636,2.701,3.971,1.653,12.696,-81.650
0.049,11.394,2.630,2.667,3.960,1.658,12.684,-81.645
0.050,11.396,2.628,2.642,3.955,1.659,12.684,-81.647
0.051,11.408,2.629,2.625,3.956,1.656,12.693,-81.654
0.051,11.429,2.634,2.617,3.961,1.649,12.710,-81.665
0.052,11.457,2.641,2.617,3.971,1.640,12.731,-81.680
0.053,11.489,2.650,2.623,3.985,1.629,12.757,-81.696
0.054,11.524,2.661,2.635,4.001,1.617,12.785,-81.714
0.054,11.559,2.673,2.651,4.019,1.603,12.812,-81.731
0.055,11.592,2.686,2.670,4.039,1.590,12.838,-81.746
0.056,11.621,2.698,2.691,4.059,1.576,12.861,-81.758
0.056,11.643,2.710,2.712,4.079,1.563,12.877,-81.766
0.057,11.658,2.721,2.734,4.098,1.552,12.887,-81.768
0.058,11.668,2.730,2.754,4.115,1.543,12.889,-81.765
0.059,11.681,2.737,2.771,4.130,1.535,12.883,-81.757
0.059,11.701,2.741,2.785,4.142,1.529,12.870,-81.743
0.060,11.727,2.743,2.794,4.150,1.525,12.851,-81.725
0.061,11.760,2.740,2.797,4.153,1.522,12.827,-81.703
0.061,11.799,2.734,2.794,4.152,1.521,12.798,-81.677
0.062,11.843,2.724,2.784,4.145,1.522,12.765,-81.648
0.063,11.891,2.710,2.769,4.134,1.524,12.729,-81.617
0.064,11.943,2.694,2.749,4.120,1.528,12.689,-81.583
0.064,11.998,2.676,2.726,4.103,1.534,12.648,-81.548
0.065,12.055,2.656,2.701,4.083,1.540,12.605,-81.511
0.066,12.113,2.635,2.673,4.062,1.549,12.561,-81.474
0.066,12.171,2.613,2.644,4.039,1.559,12.517,-81.436
0.067,12.230,2.591,2.615,4.015,1.570,12.474,-81.399
0.068,12.287,2.569,2.586,3.991,1.582,12.431,-81.362
0.069,12.343,2.548,2.558,3.968,1.596,12.391,-81.327
0.069,12.396,2.527,2.533,3.945,1.611,12.353,-81.292
0.070,12.448,2.509,2.511,3.924,1.628,12.316,-81.259
0.071,12.499,2.492,2.493,3.905,1.644,12.282,-81.225
0.071,12.549,2.479,2.479,3.889,1.662,12.250,-81.192
0.072,12.598,2.467,2.469,3.875,1.680,12.220,-81.158
0.073,12.646,2.457,2.463,3.863,1.697,12.191,-81.123
0.074,12.695,2.449,2.459,3.853,1.715,12.164,-81.087
0.074,12.743,2.442,2.459,3.845,1.732,12.139,-81.049
0.075,12.793,2.437,2.460,3.839,1.749,12.115,-81.008
0.076,12.844,2.431,2.463,3.834,1.765,12.093,-80.966
0.076,12.896,2.426,2.466,3.830,1.779,12.072,-80.920
0.077,12.951,2.420,2.470,3.826,1.793,12.053,-80.870
0.078,13.008,2.414,2.473,3.824,1.805,12.035,-80.817
0.079,13.069,2.407,2.476,3.821,1.815,12.018,-80.760
0.079,13.134,2.399,2.477,3.819,1.823,12.002,-80.698
0.080,13.203,2.389,2.477,3.817,1.828,11.988,-80.630
0.081,13.277,2.377,2.473,3.815,1.832,11.973,-80.558
0.081,13.355,2.363,2.467,3.811,1.833,11.959,-80.481
0.082,13.437,2.347,2.458,3.808,1.833,11.944,-80.400
0.083,13.523,2.328,2.446,3.803,1.830,11.927,-80.315
0.084,13.613,2.308,2.432,3.797,1.826,11.907,-80.228
0.084,13.707,2.286,2.415,3.791,1.821,11.884,-80.138
0.085,13.803,2.262,2.397,3.783,1.814,11.857,-80.045
0.086,13.903,2.238,2.376,3.773,1.806,11.825,-79.951
0.086,14.005,2.212,2.354,3.762,1.796,11.787,-79.857
0.087,14.111,2.185,2.331,3.750,1.786,11.743,-79.761
0.088,14.220,2.157,2.307,3.735,1.775,11.691,-79.665
0.089,14.334,2.130,2.282,3.718,1.763,11.631,-79.570
0.089,14.451,2.101,2.256,3.700,1.751,11.562,-79.476
0.090,14.573,2.073,2.230,3.679,1.739,11.484,-79.383
0.091,14.701,2.045,2.204,3.655,1.726,11.395,-79.291
0.091,14.836,2.017,2.178,3.629,1.713,11.295,-79.203
0.092,14.977,1.990,2.153,3.601,1.700,11.183,-79.116
